medal_type,medal_code,athlete_name,country_code,discipline_code,event
Silver Medal,2,SPRINGSTEEN Jessica,USA,EQU,Jumping Team
Silver Medal,2,KRAUT Laura,USA,EQU,Jumping Team
Silver Medal,2,WARD McLain,USA,EQU,Jumping Team
Bronze Medal,3,DEVOS Pieter,BEL,EQU,Jumping Team
Bronze Medal,3,GUERY Jerome,BEL,EQU,Jumping Team
Bronze Medal,3,WATHELET Gregory,BEL,EQU,Jumping Team
Gold Medal,1,CLAUDINHO,BRA,FBL,Men
Gold Medal,1,SANTOS,BRA,FBL,Men
Gold Medal,1,ANTONY,BRA,FBL,Men
Gold Medal,1,ABNER,BRA,FBL,Men
Gold Medal,1,BRENNO,BRA,FBL,Men
Gold Medal,1,FUCHS Bruno,BRA,FBL,Men
Gold Medal,1,GUIMARAES Bruno,BRA,FBL,Men
Gold Medal,1,DOUGLAS LUIZ,BRA,FBL,Men
Gold Medal,1,ALVES Dani,BRA,FBL,Men
Gold Medal,1,DIEGO CARLOS,BRA,FBL,Men
Gold Medal,1,ARANA Guilherme,BRA,FBL,Men
Gold Medal,1,MENINO Gabriel,BRA,FBL,Men
Gold Medal,1,MARTINELLI Gabriel,BRA,FBL,Men
Gold Medal,1,LUCAO,BRA,FBL,Men
Gold Medal,1,CUNHA Matheus,BRA,FBL,Men
Gold Medal,1,NINO,BRA,FBL,Men
Gold Medal,1,MALCOM,BRA,FBL,Men
Gold Medal,1,MATHEUS HENRIQUE,BRA,FBL,Men
Gold Medal,1,PAULINHO,BRA,FBL,Men
Gold Medal,1,RICHARLISON,BRA,FBL,Men
Gold Medal,1,REINIER,BRA,FBL,Men
Gold Medal,1,GRACA Ricardo,BRA,FBL,Men
Silver Medal,2,ZUBIMENDI Martin,ESP,FBL,Men
Silver Medal,2,GIL Oscar,ESP,FBL,Men
Silver Medal,2,MINGUEZA Oscar,ESP,FBL,Men
Silver Medal,2,ASENSIO Marco,ESP,FBL,Men
Silver Medal,2,CEBALLOS Dani,ESP,FBL,Men
Silver Medal,2,CUCURELLA Marc,ESP,FBL,Men
Silver Medal,2,GIL Bryan,ESP,FBL,Men
Silver Medal,2,GONZALEZ Pedri,ESP,FBL,Men
Silver Medal,2,FERNANDEZ Alvaro,ESP,FBL,Men
Silver Medal,2,TORRES Pau,ESP,FBL,Men
Silver Medal,2,GARCIA Eric,ESP,FBL,Men
Silver Medal,2,MERINO Mikel,ESP,FBL,Men
Silver Medal,2,MIR Rafa,ESP,FBL,Men
Silver Medal,2,MIRANDA Juan,ESP,FBL,Men
Silver Medal,2,MONCAYOLA Jon,ESP,FBL,Men
Silver Medal,2,OLMO Dani,ESP,FBL,Men
Silver Medal,2,OYARZABAL Mikel,ESP,FBL,Men
Silver Medal,2,PUADO Javier,ESP,FBL,Men
Silver Medal,2,SIMON Unai,ESP,FBL,Men
Silver Medal,2,SOLER Carlos,ESP,FBL,Men
Silver Medal,2,VALLEJO Jesus,ESP,FBL,Men
Silver Medal,2,VILLAR Ivan,ESP,FBL,Men
Bronze Medal,3,MARTIN Henry,MEX,FBL,Men
Bronze Medal,3,MALAGON Luis,MEX,FBL,Men
Bronze Medal,3,ANGULO Ricardo,MEX,FBL,Men
Bronze Medal,3,BELTRAN Fernando,MEX,FBL,Men
Bronze Medal,3,AGUIRRE Eduardo,MEX,FBL,Men
Bronze Medal,3,AGUIRRE Erick,MEX,FBL,Men
Bronze Medal,3,ALVARADO Roberto,MEX,FBL,Men
Bronze Medal,3,ANGULO Jesus,MEX,FBL,Men
Bronze Medal,3,ANTUNA Uriel,MEX,FBL,Men
Bronze Medal,3,CORDOVA Sebastian,MEX,FBL,Men
Bronze Medal,3,ESQUIVEL Joaquin,MEX,FBL,Men
Bronze Medal,3,JURADO Sebastian,MEX,FBL,Men
Bronze Medal,3,LAINEZ Diego,MEX,FBL,Men
Bronze Medal,3,LORONA Vladimir,MEX,FBL,Men
Bronze Medal,3,MONTES Cesar,MEX,FBL,Men
Bronze Medal,3,MORA Adrian,MEX,FBL,Men
Bronze Medal,3,OCHOA Guillermo,MEX,FBL,Men
Bronze Medal,3,RODRIGUEZ Carlos,MEX,FBL,Men
Bronze Medal,3,ROMO Luis,MEX,FBL,Men
Bronze Medal,3,SANCHEZ Jorge,MEX,FBL,Men
Bronze Medal,3,VASQUEZ Johan,MEX,FBL,Men
Bronze Medal,3,VEGA Alexis,MEX,FBL,Men
Gold Medal,1,KORDA Nelly,USA,GLF,Women's Individual Stroke Play
Silver Medal,2,INAMI Mone,JPN,GLF,Women's Individual Stroke Play
Bronze Medal,3,KO Lydia,NZL,GLF,Women's Individual Stroke Play
Gold Medal,1,ABALO Luc,FRA,HBL,Men
Gold Medal,1,DESCAT Hugo,FRA,HBL,Men
Gold Medal,1,FABREGAS Ludovic,FRA,HBL,Men
Gold Medal,1,GENTY Yann,FRA,HBL,Men
Gold Medal,1,GERARD Vincent,FRA,HBL,Men
Gold Medal,1,GUIGOU Michael,FRA,HBL,Men
Gold Medal,1,KARABATIC Nikola,FRA,HBL,Men
Gold Medal,1,KARABATIC Luka,FRA,HBL,Men
Gold Medal,1,LAGARDE Romain,FRA,HBL,Men
Gold Medal,1,MAHE Kentin,FRA,HBL,Men
Gold Medal,1,MEM Dika,FRA,HBL,Men
Gold Medal,1,NGUESSAN Timothey,FRA,HBL,Men
Gold Medal,1,PORTE Valentin,FRA,HBL,Men
Gold Medal,1,REMILI Nedim,FRA,HBL,Men
Gold Medal,1,RICHARDSON Melvyn,FRA,HBL,Men
Gold Medal,1,TOURNAT Nicolas,FRA,HBL,Men
Silver Medal,2,ANDERSSON Lasse,DEN,HBL,Men
Silver Medal,2,GIDSEL Mathias,DEN,HBL,Men
Silver Medal,2,HANSEN Johan,DEN,HBL,Men
Silver Medal,2,HOLM Jacob,DEN,HBL,Men
Silver Medal,2,JAKOBSEN Emil,DEN,HBL,Men
Silver Medal,2,LANDIN Magnus,DEN,HBL,Men
Silver Medal,2,LANDIN Niklas,DEN,HBL,Men
Silver Medal,2,MENSAH Mads,DEN,HBL,Men
Silver Medal,2,MOELLGAARD Henrik,DEN,HBL,Men
Silver Medal,2,OLSEN Morten,DEN,HBL,Men
Silver Medal,2,SAUGSTRUP Magnus,DEN,HBL,Men
Silver Medal,2,SVAN Lasse,DEN,HBL,Men
Silver Medal,2,TOFT HANSEN Henrik,DEN,HBL,Men
Silver Medal,2,HANSEN Mikkel,DEN,HBL,Men
Silver Medal,2,MOELLER Kevin,DEN,HBL,Men
Bronze Medal,3,GARCIA ROBLEDO Antonio,ESP,HBL,Men
Bronze Medal,3,GOMEZ ABELLO Aleix,ESP,HBL,Men
Bronze Medal,3,CORRALES RODAL Rodrigo,ESP,HBL,Men
Bronze Medal,3,MAQUEDA PENO Jorge,ESP,HBL,Men
Bronze Medal,3,SOLE SALA Ferran,ESP,HBL,Men
Bronze Medal,3,PEREZ de VARGAS MORENO Gonzalo,ESP,HBL,Men
Bronze Medal,3,DUJSHEBAEV DOVICHEBAEVA Alex,ESP,HBL,Men
Bronze Medal,3,FIGUERAS TREJO Adrian,ESP,HBL,Men
Bronze Medal,3,MORROS de ARGILA Viran,ESP,HBL,Men
Bronze Medal,3,ENTRERRIOS RODRIGUEZ Raul,ESP,HBL,Men
Bronze Medal,3,GURBINDO MARTINEZ Eduardo,ESP,HBL,Men
Bronze Medal,3,SARMIENTO MELIAN Daniel,ESP,HBL,Men
Bronze Medal,3,SANCHEZ-MIGALLON NARANJO Miguel,ESP,HBL,Men
Bronze Medal,3,FERNANDEZ PEREZ Angel,ESP,HBL,Men
Bronze Medal,3,AGUINAGALDE AQUIZU Julen,ESP,HBL,Men
Bronze Medal,3,GUARDIOLA VILLAPLANA Gedeon,ESP,HBL,Men
Gold Medal,1,GANJZADEH Sajad,IRI,KTE,Men's Kumite +75kg
Silver Medal,2,HAMEDI Tareg,KSA,KTE,Men's Kumite +75kg
Bronze Medal,3,ARAGA Ryutaro,JPN,KTE,Men's Kumite +75kg
Bronze Medal,3,AKTAS Ugur,TUR,KTE,Men's Kumite +75kg
Gold Medal,1,ABDELAZIZ Feryal,EGY,KTE,Women's Kumite +61kg
Silver Medal,2,ZARETSKA Iryna,AZE,KTE,Women's Kumite +61kg
Bronze Medal,3,GONG Li,CHN,KTE,Women's Kumite +61kg
Bronze Medal,3,BERULTSEVA Sofya,KAZ,KTE,Women's Kumite +61kg
Gold Medal,1,CHOONG Joseph,GBR,MPN,Men's Individual
Silver Medal,2,ELGENDY Ahmed,EGY,MPN,Men's Individual
Bronze Medal,3,JUN Woongtae,KOR,MPN,Men's Individual
Gold Medal,1,ASHRAM Linoy,ISR,GRY,Individual All-Around
Silver Medal,2,AVERINA Dina,ROC,GRY,Individual All-Around
Bronze Medal,3,HARNASKO Alina,BLR,GRY,Individual All-Around
Gold Medal,1,le GOFF Nicolas,FRA,VVO,Men
Gold Medal,1,CHINENYEZE Barthelemy,FRA,VVO,Men
Gold Medal,1,BOYER Stephen,FRA,VVO,Men
Gold Medal,1,BRIZARD Antoine,FRA,VVO,Men
Gold Medal,1,BULTOR Daryl,FRA,VVO,Men
Gold Medal,1,CLEVENOT Trevor,FRA,VVO,Men
Gold Medal,1,GREBENNIKOV Jenia,FRA,VVO,Men
Gold Medal,1,LOUATI Yacine,FRA,VVO,Men
Gold Medal,1,NGAPETH Earvin,FRA,VVO,Men
Gold Medal,1,PATRY Jean,FRA,VVO,Men
Gold Medal,1,TILLIE Kevin,FRA,VVO,Men
Gold Medal,1,TONIUTTI Benjamin,FRA,VVO,Men
Silver Medal,2,KOBZAR Igor,ROC,VVO,Men
Silver Medal,2,PANKOV Pavel,ROC,VVO,Men
Silver Medal,2,VOLVICH Artem,ROC,VVO,Men
Silver Medal,2,KURKAEV Ilyas,ROC,VVO,Men
Silver Medal,2,IAKOVLEV Ivan,ROC,VVO,Men
Silver Medal,2,KLIUKA Egor,ROC,VVO,Men
Silver Medal,2,VOLKOV Dmitry,ROC,VVO,Men
Silver Medal,2,PODLESNYKH Yaroslav,ROC,VVO,Men
Silver Medal,2,BOGDAN Denis,ROC,VVO,Men
Silver Medal,2,MIKHAYLOV Maxim,ROC,VVO,Men
Silver Medal,2,POLETAEV Victor,ROC,VVO,Men
Silver Medal,2,GOLUBEV Valentin,ROC,VVO,Men
Bronze Medal,3,de CECCO Luciano,ARG,VVO,Men
Bronze Medal,3,SANCHEZ Matias,ARG,VVO,Men
Bronze Medal,3,SOLE Sebastian,ARG,VVO,Men
Bronze Medal,3,RAMOS Martin,ARG,VVO,Men
Bronze Medal,3,LOSER Agustin,ARG,VVO,Men
Bronze Medal,3,PEREYRA Federico,ARG,VVO,Men
Bronze Medal,3,LIMA Bruno,ARG,VVO,Men
Bronze Medal,3,CONTE Facundo,ARG,VVO,Men
Bronze Medal,3,POGLAJEN Cristian,ARG,VVO,Men
Bronze Medal,3,PALACIOS Ezequiel,ARG,VVO,Men
Bronze Medal,3,MENDEZ Nicolas,ARG,VVO,Men
Bronze Medal,3,DANANI Santiago,ARG,VVO,Men
Gold Medal,1,FISCHER Aria,USA,WPO,Women
Gold Medal,1,JOHNSON Ashleigh,USA,WPO,Women
Gold Medal,1,LONGAN Amanda,USA,WPO,Women
Gold Medal,1,WILLIAMS Alys,USA,WPO,Women
Gold Medal,1,NEUSHUL Jamie,USA,WPO,Women
Gold Medal,1,GILCHRIST Kaleigh,USA,WPO,Women
Gold Medal,1,FISCHER Makenzie,USA,WPO,Women
Gold Medal,1,MUSSELMAN Madeline,USA,WPO,Women
Gold Medal,1,SEIDEMANN Melissa,USA,WPO,Women
Gold Medal,1,STEFFENS Margaret,USA,WPO,Women
Gold Medal,1,HAUSCHILD Paige,USA,WPO,Women
Gold Medal,1,FATTAL Rachel,USA,WPO,Women
Gold Medal,1,HARALABIDIS Stephanie,USA,WPO,Women
Silver Medal,2,BACH Marta,ESP,WPO,Women
Silver Medal,2,ESPAR LLAQUET Anna,ESP,WPO,Women
Silver Medal,2,ESPAR LLAQUET Clara,ESP,WPO,Women
Silver Medal,2,ESTER RAMOS Laura,ESP,WPO,Women
Silver Medal,2,FORCA ARIZA Judith,ESP,WPO,Women
Silver Medal,2,GARCIA GODOY Maica,ESP,WPO,Women
Silver Medal,2,GONZALEZ LOPEZ Irene,ESP,WPO,Women
Silver Medal,2,LEITON ARRONES Paula,ESP,WPO,Women
Silver Medal,2,ORTIZ Bea,ESP,WPO,Women
Silver Medal,2,PENA Pili,ESP,WPO,Women
Silver Medal,2,SANCHEZ GONZALEZ Maria Elena,ESP,WPO,Women
Silver Medal,2,TARRAGO AYMERICH Roser,ESP,WPO,Women
Silver Medal,2,RUIZ Elena,ESP,WPO,Women
Bronze Medal,3,GANGL Edina,HUN,WPO,Women
Bronze Medal,3,GARDA Krisztina,HUN,WPO,Women
Bronze Medal,3,GURISATTI Greta,HUN,WPO,Women
Bronze Medal,3,GYONGYOSSY Aniko,HUN,WPO,Women
Bronze Medal,3,ILLES Anna,HUN,WPO,Women
Bronze Medal,3,KESZTHELYI Rita,HUN,WPO,Women
Bronze Medal,3,LEIMETER Dora,HUN,WPO,Women
Bronze Medal,3,MAGYARI Alda,HUN,WPO,Women
Bronze Medal,3,PARKES Rebecca,HUN,WPO,Women
Bronze Medal,3,RYBANSKA Natasa,HUN,WPO,Women
Bronze Medal,3,SZILAGYI Dorottya,HUN,WPO,Women
Bronze Medal,3,SZUCS Gabriella,HUN,WPO,Women
Bronze Medal,3,VALYI Vanda,HUN,WPO,Women
Gold Medal,1,OTOGURO Takuto,JPN,WRE,Men's Freestyle 65kg
Silver Medal,2,ALIYEV Haji,AZE,WRE,Men's Freestyle 65kg
Bronze Medal,3,RASHIDOV Gadzhimurad,ROC,WRE,Men's Freestyle 65kg
Bronze Medal,3,BAJRANG Bajrang,IND,WRE,Men's Freestyle 65kg
Gold Medal,1,SADULAEV Abdulrashid,ROC,WRE,Men's Freestyle 97kg
Silver Medal,2,SNYDER Kyle Frederick,USA,WRE,Men's Freestyle 97kg
Bronze Medal,3,SALAS PEREZ Reineris,CUB,WRE,Men's Freestyle 97kg
Bronze Medal,3,CONYEDO RUANO Abraham de Jesus,ITA,WRE,Men's Freestyle 97kg
Gold Medal,1,SUSAKI Yui,JPN,WRE,Women's Freestyle 50kg
Silver Medal,2,SUN Yanan,CHN,WRE,Women's Freestyle 50kg
Bronze Medal,3,STADNIK Mariya,AZE,WRE,Women's Freestyle 50kg
Bronze Medal,3,HILDEBRANDT Sarah Ann,USA,WRE,Women's Freestyle 50kg
Gold Medal,1,KIPCHOGE Eliud,KEN,ATH,Men's Marathon
Silver Medal,2,NAGEEYE Abdi,NED,ATH,Men's Marathon
Bronze Medal,3,ABDI Bashir,BEL,ATH,Men's Marathon
Gold Medal,1,ATKINS Ariel,USA,BKB,Women
Gold Medal,1,WILSON A'ja,USA,BKB,Women
Gold Medal,1,GRINER Brittney,USA,BKB,Women
Gold Medal,1,STEWART Breanna,USA,BKB,Women
Gold Medal,1,GRAY Chelsea,USA,BKB,Women
Gold Medal,1,LOYD Jewell,USA,BKB,Women
Gold Medal,1,TAURASI Diana,USA,BKB,Women
Gold Medal,1,BIRD Sue,USA,BKB,Women
Gold Medal,1,DIGGINS Skylar,USA,BKB,Women
Gold Medal,1,FOWLES Sylvia,USA,BKB,Women
Gold Medal,1,CHARLES Tina,USA,BKB,Women
Gold Medal,1,COLLIER Napheesa,USA,BKB,Women
Silver Medal,2,MIYOSHI Naho,JPN,BKB,Women
Silver Medal,2,TAKADA Maki,JPN,BKB,Women
Silver Medal,2,MACHIDA Rui,JPN,BKB,Women
Silver Medal,2,MIYAZAWA Yuki,JPN,BKB,Women
Silver Medal,2,MOTOHASHI Nako,JPN,BKB,Women
Silver Medal,2,NAGAOKA Moeko,JPN,BKB,Women
Silver Medal,2,HAYASHI Saki,JPN,BKB,Women
Silver Medal,2,MAWULI Evelyn,JPN,BKB,Women
Silver Medal,2,MIYAZAKI Saori,JPN,BKB,Women
Silver Medal,2,AKAHO Himawari,JPN,BKB,Women
Silver Medal,2,OKOYE Monica,JPN,BKB,Women
Silver Medal,2,TODO Nanako,JPN,BKB,Women
Bronze Medal,3,FAUTHOUX Marine,FRA,BKB,Women
Bronze Medal,3,DUCHET Alix,FRA,BKB,Women
Bronze Medal,3,JOHANNES Marine,FRA,BKB,Women
Bronze Medal,3,MICHEL Sarah,FRA,BKB,Women
Bronze Medal,3,VUKOSAVLJEVIC Valeriane,FRA,BKB,Women
Bronze Medal,3,TCHATCHOUANG Diandra,FRA,BKB,Women
Bronze Medal,3,MIYEM Endene,FRA,BKB,Women
Bronze Medal,3,CHARTEREAU Alexia,FRA,BKB,Women
Bronze Medal,3,GRUDA Sandrine,FRA,BKB,Women
Bronze Medal,3,RUPERT Iliana,FRA,BKB,Women
Bronze Medal,3,CIAK Helena,FRA,BKB,Women
Bronze Medal,3,WILLIAMS Gabby,FRA,BKB,Women
Gold Medal,1,CRUZ Andy,CUB,BOX,Men's Light (57-63kg)
Silver Medal,2,DAVIS Keyshawn,USA,BOX,Men's Light (57-63kg)
Gold Medal,1,JALOLOV Bakhodir,UZB,BOX,Men's Super Heavy (+91kg)
Silver Medal,2,TORREZ JR Richard,USA,BOX,Men's Super Heavy (+91kg)
Gold Medal,1,HARRINGTON Kellie Anne,IRL,BOX,Women's Light (57-60kg)
Silver Medal,2,FERREIRA Beatriz,BRA,BOX,Women's Light (57-60kg)
Gold Medal,1,PRICE Lauren,GBR,BOX,Women's Middle (69-75kg)
Silver Medal,2,LI Qian,CHN,BOX,Women's Middle (69-75kg)
Gold Medal,1,KENNY Jason,GBR,CTR,Men's Keirin
Silver Medal,2,AWANG Mohd Azizulhasni,MAS,CTR,Men's Keirin
Bronze Medal,3,LAVREYSEN Harrie,NED,CTR,Men's Keirin
Gold Medal,1,VALENTE Jennifer,USA,CTR,Women's Omnium
Silver Medal,2,KAJIHARA Yumi,JPN,CTR,Women's Omnium
Bronze Medal,3,WILD Kirsten,NED,CTR,Women's Omnium
Gold Medal,1,MITCHELL Kelsey,CAN,CTR,Women's Sprint
Silver Medal,2,STARIKOVA Olena,UKR,CTR,Women's Sprint
Bronze Medal,3,LEE Wai Sze,HKG,CTR,Women's Sprint
Gold Medal,1,EDWIGE Beatrice,FRA,HBL,Women
Gold Medal,1,NZE MINKO Estelle,FRA,HBL,Women
Gold Medal,1,LEYNAUD Amandine,FRA,HBL,Women
Gold Medal,1,DARLEUX Cleopatre,FRA,HBL,Women
Gold Medal,1,LASSOURCE Coralie,FRA,HBL,Women
Gold Medal,1,VALENTINI Chloe,FRA,HBL,Women
Gold Medal,1,FOPPA Pauletta,FRA,HBL,Women
Gold Medal,1,LACRABERE Alexandra,FRA,HBL,Women
Gold Medal,1,SERCIEN UGOLIN Oceane,FRA,HBL,Women
Gold Medal,1,COATANEA Pauline,FRA,HBL,Women
Gold Medal,1,FLIPPES Laura,FRA,HBL,Women
Gold Medal,1,DANCETTE Blandine,FRA,HBL,Women
Gold Medal,1,ZAADI DEUNA Grace,FRA,HBL,Women
Gold Medal,1,NOCANDY Meline,FRA,HBL,Women
Gold Medal,1,PINEAU Allison,FRA,HBL,Women
Gold Medal,1,NIAKATE Kalidiatou,FRA,HBL,Women
Silver Medal,2,BOBROVNIKOVA Vladlena,ROC,HBL,Women
Silver Medal,2,VEDEKHINA Polina,ROC,HBL,Women
Silver Medal,2,VYAKHIREVA Anna,ROC,HBL,Women
Silver Medal,2,GORSHKOVA Polina,ROC,HBL,Women
Silver Medal,2,DMITRIEVA Daria,ROC,HBL,Women
Silver Medal,2,ILINA Ekaterina,ROC,HBL,Women
Silver Medal,2,KALININA Viktoriia,ROC,HBL,Women
Silver Medal,2,KUZNETSOVA Polina,ROC,HBL,Women
Silver Medal,2,MAKEEVA Kseniia,ROC,HBL,Women
Silver Medal,2,MANAGAROVA Iuliia,ROC,HBL,Women
Silver Medal,2,MIKHAYLICHENKO Elena,ROC,HBL,Women
Silver Medal,2,SEDOYKINA Anna,ROC,HBL,Women
Silver Medal,2,SEN Anna,ROC,HBL,Women
Silver Medal,2,SKOROBOGATCHENKO Antonina,ROC,HBL,Women
Silver Medal,2,FOMINA Olga,ROC,HBL,Women
Bronze Medal,3,TOMAC Marta,NOR,HBL,Women
Bronze Medal,3,JACOBSEN Marit,NOR,HBL,Women
Bronze Medal,3,MOERK Nora,NOR,HBL,Women
Bronze Medal,3,REISTAD Henny,NOR,HBL,Women
Bronze Medal,3,KRISTIANSEN Veronica,NOR,HBL,Women
Bronze Medal,3,SKOGRAND Stine,NOR,HBL,Women
Bronze Medal,3,LUNDE Katrine,NOR,HBL,Women
Bronze Medal,3,JOHANSEN Vilde Ingeborg,NOR,HBL,Women
Bronze Medal,3,BREISTOEL Kristine,NOR,HBL,Women
Bronze Medal,3,FRAFJORD Marit Malm,NOR,HBL,Women
Bronze Medal,3,BRATTSET DALE Kari,NOR,HBL,Women
Bronze Medal,3,BREDAL OFTEDAL Stine,NOR,HBL,Women
Bronze Medal,3,SOLBERG ISAKSEN Sanna,NOR,HBL,Women
Bronze Medal,3,HERREM Camilla,NOR,HBL,Women
Bronze Medal,3,SOLBERG Silje,NOR,HBL,Women
Gold Medal,1,DYANKOVA Simona,BUL,GRY,Group All-Around
Gold Medal,1,RADUKANOVA Madlen,BUL,GRY,Group All-Around
Gold Medal,1,KIRYAKOVA Stefani,BUL,GRY,Group All-Around
Gold Medal,1,ZAFIROVA Erika,BUL,GRY,Group All-Around
Gold Medal,1,TRAETS Laura,BUL,GRY,Group All-Around
Silver Medal,2,BLIZNYUK Anastasia,ROC,GRY,Group All-Around
Silver Medal,2,SHKATOVA Angelina,ROC,GRY,Group All-Around
Silver Medal,2,TISHCHENKO Alisa,ROC,GRY,Group All-Around
Silver Medal,2,MAKSIMOVA Anastasiia,ROC,GRY,Group All-Around
Silver Medal,2,TATAREVA Anastasiia,ROC,GRY,Group All-Around
Bronze Medal,3,MAURELLI Alessia,ITA,GRY,Group All-Around
Bronze Medal,3,CENTOFANTI Martina,ITA,GRY,Group All-Around
Bronze Medal,3,SANTANDREA Martina,ITA,GRY,Group All-Around
Bronze Medal,3,DURANTI Agnese,ITA,GRY,Group All-Around
Bronze Medal,3,MOGUREAN Daniela,ITA,GRY,Group All-Around
Gold Medal,1,DREWS Andrea,USA,VVO,Women
Gold Medal,1,OGBOGU Chiaka,USA,VVO,Women
Gold Medal,1,AKINRADEWO Foluke,USA,VVO,Women
Gold Medal,1,WASHINGTON Haleigh,USA,VVO,Women
Gold Medal,1,LARSON Jordan,USA,VVO,Women
Gold Medal,1,WONG-ORANTES Justine,USA,VVO,Women
Gold Medal,1,HILL Kimberly,USA,VVO,Women
Gold Medal,1,ROBINSON Kelsey,USA,VVO,Women
Gold Medal,1,BARTSCH-HACKLEY Michelle,USA,VVO,Women
Gold Medal,1,HANCOCK Micha,USA,VVO,Women
Gold Medal,1,POULTER Jordyn,USA,VVO,Women
Gold Medal,1,THOMPSON Jordan,USA,VVO,Women
Silver Medal,2,CORREA Ana Beatriz,BRA,VVO,Women
Silver Medal,2,da SILVA Ana Carolina,BRA,VVO,Women
Silver Medal,2,MENEZES OLIVEIRA de SOUZA Ana Cris.,BRA,VVO,Women
Silver Medal,2,BRAIT Camila,BRA,VVO,Women
Silver Medal,2,de OLIVEIRA SAAD GATTAZ Caroline,BRA,VVO,Women
Silver Medal,2,RODRIGUES Fernanda,BRA,VVO,Women
Silver Medal,2,BRAGA GUIMARAES Gabriela,BRA,VVO,Women
Silver Medal,2,SILVA CARNEIRO Macris Fernanda,BRA,VVO,Women
Silver Medal,2,PEREIRA Natalia,BRA,VVO,Women
Silver Medal,2,MONTIBELLER Rosamaria,BRA,VVO,Women
Silver Medal,2,RATZKE Roberta Silva,BRA,VVO,Women
Silver Medal,2,CAIXETA Tandara,BRA,VVO,Women
Bronze Medal,3,BJELICA Ana,SRB,VVO,Women
Bronze Medal,3,BUSA Bianka,SRB,VVO,Women
Bronze Medal,3,MILENKOVIC Bojana,SRB,VVO,Women
Bronze Medal,3,MIHAJLOVIC Brankica,SRB,VVO,Women
Bronze Medal,3,BLAGOJEVIC Jelena,SRB,VVO,Women
Bronze Medal,3,ALEKSIC Maja,SRB,VVO,Women
Bronze Medal,3,OGNJENOVIC Maja,SRB,VVO,Women
Bronze Medal,3,RASIC Milena,SRB,VVO,Women
Bronze Medal,3,POPOVIC Mina,SRB,VVO,Women
Bronze Medal,3,POPOVIC Silvija,SRB,VVO,Women
Bronze Medal,3,MIRKOVIC Sladjana,SRB,VVO,Women
Bronze Medal,3,BOSKOVIC Tijana,SRB,VVO,Women
Gold Medal,1,ALEKSIC Milan,SRB,WPO,Men
Gold Medal,1,DEDOVIC Nikola,SRB,WPO,Men
Gold Medal,1,FILIPOVIC Filip,SRB,WPO,Men
Gold Medal,1,JAKSIC Nikola,SRB,WPO,Men
Gold Medal,1,LAZIC Dorde,SRB,WPO,Men
Gold Medal,1,MANDIC Dusan,SRB,WPO,Men
Gold Medal,1,MITROVIC Branislav,SRB,WPO,Men
Gold Medal,1,MITROVIC Stefan,SRB,WPO,Men
Gold Medal,1,PIJETLOVIC Dusko,SRB,WPO,Men
Gold Medal,1,PIJETLOVIC Gojko,SRB,WPO,Men
Gold Medal,1,PRLAINOVIC Andrija,SRB,WPO,Men
Gold Medal,1,RANDELOVIC Sava,SRB,WPO,Men
Gold Medal,1,RASOVIC Strahinja,SRB,WPO,Men
Silver Medal,2,ARGYROPOULOS KANAKAKIS Stylianos,GRE,WPO,Men
Silver Medal,2,DERVISIS Georgios,GRE,WPO,Men
Silver Medal,2,FOUNTOULIS Ioannis,GRE,WPO,Men
Silver Medal,2,GALANIDIS Konstantinos,GRE,WPO,Men
Silver Medal,2,GENIDOUNIAS Konstantinos,GRE,WPO,Men
Silver Medal,2,KAPOTSIS Marios,GRE,WPO,Men
Silver Medal,2,KOLOMVOS Christodoulos,GRE,WPO,Men
Silver Medal,2,MOURIKIS Konstantinos,GRE,WPO,Men
Silver Medal,2,PAPANASTASIOU Alexandros,GRE,WPO,Men
Silver Medal,2,SKOUMPAKIS Dimitrios,GRE,WPO,Men
Silver Medal,2,VLACHOPOULOS Angelos,GRE,WPO,Men
Silver Medal,2,ZERDEVAS Emmanouil,GRE,WPO,Men
Silver Medal,2,GKIOUVETSIS Konstantinos,GRE,WPO,Men
Bronze Medal,3,PASZTOR Matyas,HUN,WPO,Men
Bronze Medal,3,ANGYAL Daniel,HUN,WPO,Men
Bronze Medal,3,ERDELYI Balazs,HUN,WPO,Men
Bronze Medal,3,HARAI Balazs,HUN,WPO,Men
Bronze Medal,3,HOSNYANSZKY Norbert,HUN,WPO,Men
Bronze Medal,3,JANSIK Szilard,HUN,WPO,Men
Bronze Medal,3,MANHERCZ Krisztian,HUN,WPO,Men
Bronze Medal,3,MEZEI Tamas,HUN,WPO,Men
Bronze Medal,3,NAGY Viktor,HUN,WPO,Men
Bronze Medal,3,VAMOS Marton,HUN,WPO,Men
Bronze Medal,3,VARGA Denes,HUN,WPO,Men
Bronze Medal,3,VOGEL Soma,HUN,WPO,Men
Bronze Medal,3,ZALANKI Gergo,HUN,WPO,Men
