name,gender,birth_date,country_code,discipline,function
KNEZEVIC Nemanja,Male,1/11/1984,KAZ,Water Polo,Head Coach
KOFFI Anthony,Male,9/13/1953,CIV,Football,Head Coach
KONSTANTINOV Aleksei,Male,6/17/1983,ROC,Volleyball,Head Coach
KRIKORIAN Adam,Male,7/22/1974,USA,Water Polo,Head Coach
KRIST JANSSON Aron,Male,7/14/1972,BRN,Handball,Coach
KRUMBHOLZ Olivier,Male,7/12/1958,FRA,Handball,Coach
KULESZA Kasia,Female,8/29/1976,CAN,Artistic Swimming,Coach
KUNTZ Stefan,Male,10/30/1962,GER,Football,Head Coach
KUZIN Andrey,Male,10/29/1978,ROC,Rugby Sevens,Head Coach
KWIEK Marcos,Male,7/18/1967,DOM,Volleyball,Head Coach
LAIDLAW Clark,Male,7/16/1977,NZL,Rugby Sevens,Head Coach
LAMAS Julio,Male,6/9/1964,JPN,Basketball,Coach
LANG Ping,Female,12/10/1960,CHN,Volleyball,Head Coach
LAVARINI Stefano,Male,1/17/1979,KOR,Volleyball,Head Coach
LAZARO CORRAL Jesus,Male,12/21/1971,ESP,Basketball,Coach
LEE Jong Yeol,Male,1/28/1973,KOR,Baseball/Softball,Coach
LETELIER Jose,Male,5/23/1966,CHI,Football,Head Coach
LOCK Adrian Mayner,Male,2/23/1976,ESP,Hockey,Head Coach
LOFTUS Adriana,Female,6/28/1958,MEX,Artistic Swimming,Coach
LOPES BARBOSA Leonard,Male,7/4/1982,KEN,Volleyball,Head Coach
LOPEZ GUILLEN Melvyn,Male,7/5/1974,DOM,Basketball,Coach
LOPEZ Monica Susana,Female,12/19/1959,ARG,Artistic Swimming,Coach
LORRAINE Andrew,Male,8/11/1972,ISR,Baseball/Softball,Coach
LOUCKS Luke,Male,4/1/1990,NGR,Basketball,Coach
LOZANO Jaime,Male,9/29/1978,MEX,Football,Head Coach
MACEK Anze,Male,6/10/1991,SLO,Basketball,Coach
MACKINTOSH Euan,Male,9/6/1985,CHN,Rugby Sevens,Head Coach
MAEDA Kenzo,Male,6/27/1982,JPN,Basketball,Coach
MAHLANGU Sibusiso,Male,2/12/1984,RSA,Football,Head Coach
MAKIRI Hare,Male,5/31/1978,JPN,Rugby Sevens,Head Coach
MALJKOVIC Marina,Female,9/26/1981,SRB,Basketball,Coach
MANENTI John,Male,3/30/1971,AUS,Rugby Sevens,Head Coach
MANZANILLO Andres,Male,8/1/1977,VEN,Volleyball,Head Coach
MARCZ Tamas,Male,7/17/1974,HUN,Water Polo,Head Coach
MARIJNE Sjoerd,Male,4/20/1974,IND,Hockey,Head Coach
MARINELLI Fernando,Male,9/27/1979,CHI,Football,Head Coach
MARTIN LOZANO David,Male,1/2/1977,ESP,Water Polo,Head Coach
MARTIN Paul,Male,10/12/1982,RSA,Water Polo,Head Coach
MASHA Mario,Male,7/22/1982,RSA,Football,Head Coach
MATSUNO Yoshiyuki,Male,4/16/1986,JPN,Basketball,Coach
MATSUODANI Yasushi,Male,9/20/1977,JPN,Football,Head Coach
MAYBURY Elena,Female,10/17/1985,USA,Football,Head Coach
MAYONNADE Emmanuel,Male,6/12/1983,NED,Handball,Coach
MAZZANTI Davide,Male,10/15/1976,ITA,Volleyball,Head Coach
McCRORIE Christy,Female,6/5/1984,RSA,Hockey,Coach
McLEOD Shane,Male,9/4/1968,BEL,Hockey,Head Coach
MEDINA Bobby,Male,9/24/1963,NGR,Basketball,Coach
MENDEZ Marcelo Rodolfo,Male,6/20/1964,ARG,Volleyball,Head Coach
MENTOOR Delaine,Female,5/26/1993,RSA,Water Polo,Head Coach
MERCEDES del ROSARIO Jose,Male,3/19/1964,DOM,Basketball,Coach
MESTDAGH Philip,Male,1/26/1963,BEL,Basketball,Coach
MEZHENINA Valeriia,Female,3/4/1965,UKR,Artistic Swimming,Coach
MEZIANE Rachid,Male,2/10/1980,FRA,Basketball,Coach
MIHAILOVIC Predrag,Male,2/24/1974,AUS,Water Polo,Head Coach
MIREJOVSKY Michal,Male,10/12/1981,CZE,Basketball,Coach
MIRET GARCIA Daniel,Male,6/25/1985,ESP,Basketball,Coach
MIURA Keiko,Female,3/16/1975,JPN,Hockey,Coach
MIYAKAWA Miya,Female,12/12/1974,JPN,Artistic Swimming,Coach
MIYAKAWA Miya,Female,12/12/1974,JPN,Artistic Swimming,Coach
MLADENOVA Albena,Female,6/10/1964,AUT,Artistic Swimming,Coach
MOHAMED Sayeda,Female,11/8/1970,KSA,Football,Head Coach
MOHAMMED Silifat,Female,1/20/1971,NGR,Basketball,Coach
MONDELO Lucas,Male,7/28/1967,ESP,Basketball,Coach
MONTICO Loredana,Female,9/30/1965,AUS,Artistic Swimming,Coach
MONTICO Loredana,Female,9/30/1965,AUS,Artistic Swimming,Coach
MORIYASU Hajime,Male,8/23/1968,JPN,Football,Head Coach
MOTOMIYA Makihiro,Male,12/31/1968,JPN,Water Polo,Head Coach
MULATI Adilijiang,Male,10/26/1985,CHN,Basketball,Coach
MULBERG Nate,Male,1/5/1992,ISR,Baseball/Softball,Coach
MUNOZ Noe,Male,12/3/1970,MEX,Baseball/Softball,Coach
MURATA Yoshinori,Male,4/24/1974,JPN,Baseball/Softball,Coach
MWAPE Bruce,Male,10/26/1959,ZAM,Football,Head Coach
NAGAE Shoji,Male,9/4/1987,JPN,Volleyball,Head Coach
NAIDOO Taren,Female,12/21/1987,RSA,Hockey,Coach
NAKADA Kumi,Female,9/3/1965,JPN,Volleyball,Head Coach
